Id,Week,Month,StartDate,EndDate,CustomerType,SegmentId,SegmentName,Target Audience,Delivered,Sent,Undelivered,Failed,OPEN,READ,Delivery %,Open %,Read %,Responders,In store Responders,Online Responders,Common Responders,Read and Responders,Read and In store Responders,Read and Online Responders,Read and Common Responders,Responders Sales,In store Responders Sales,Online Responders Sales,Common Responders Sales,Read and Responders Sales,Read and In store Responders Sales,Read and Online Responders Sales,Read and Common Responders Sales,Responders NOBs,In store Responders NOBs,Online Responders NOBs,Common Responders NOBs,Read and Responders NOBs,Read and In store Responders NOBs,Read and Online Responders NOBs,Read and Common Responders NOBs,Points Redeemers,Points Issued,Points Redeemed,Points Redeemers Sales,Points Redeemers Bills,Coupon Redeemers,Coupons Issued,Coupons Redeemed,Coupon Redeemers Sales,Coupon Redeemers Bills,Responders Hit Rate,Responders Hit Rate Offline,Responders Hit Rate Online,Responders Hit Rate Omni,Communication Cost,Reward Cost,Total Cost,Lift,Shift,IncreamentalSales,ROI Without Reward Cost,ROI With Reward Cost,Incremental Hit Rate %
2081,Week 42,October,2025-10-13,2025-10-19,Targetted,1088,N2R_P1_MVC_One_timers_Max_Bill_Value_gt_than_10K_rest_of_india_oct_1,2253,1245,85,0,923,0,676,55.26,0.00,54.30,8,8,0,,6,6,0,,103517.00,103517.00,,,84501.00,84501.00,,,8,8,0,,6,6,0,,3,3663.00,4705.00,21489.00,3,,,,,,0.64,0.64,0.00,,781.20,4705.00,5486.20,0,103102.932,103102.932,131.9802,18.7931,
2082,Week 42,October,2025-10-13,2025-10-19,Targetted,1104,Winback_P4_Existing_R_Bw_13_24_Month_Suits___Jackets_Puja_Stores_Oct_1,9821,6564,0,0,3257,0,0,66.84,0.00,0.00,10,10,0,,0,0,0,,120293.00,120293.00,,,,,,,10,10,0,,0,0,0,,0,1623.00,0.00,,0,,,,,,0.15,0.15,0.00,,882.18,0.00,882.18,-19663.4466,-236880.9756,-256544.4222,-290.8073,-290.8073,-0.003
2083,Week 42,October,2025-10-13,2025-10-19,Targetted,1105,Winback_P4_Existing_R_Bw_13_24_Month_Suits___Jackets_Dusshera_Stores_Oct_1,7085,3839,0,0,3246,0,0,54.18,0.00,0.00,9,9,0,,0,0,0,,106989.00,106989.00,,,,,,,11,11,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.23,0.23,0.00,,515.06,0.00,515.06,0,85880.0701,85880.0701,166.738,166.738,
2084,Week 42,October,2025-10-13,2025-10-19,Targetted,1106,R2r_P3_Existing_Repeat_R_Bw_1_12_Month_Suits___Jackets_Dusshera_Stores_Oct_1,1865,980,0,0,885,0,0,52.55,0.00,0.00,7,7,0,,0,0,0,,72402.00,72402.00,,,,,,,7,7,0,,0,0,0,,1,2147.00,550.00,6318.00,1,1,0,1,5588.00,1,0.71,0.71,0.00,,130.65,1050.00,1180.65,0,71967.5883,71967.5883,550.8426,60.9559,
2085,Week 42,October,2025-10-13,2025-10-19,Targetted,1107,N2r_P3_Existing_One_Timer_R_Bw_1_12_Month_Suits___Jackets_Common_Stores_Oct_1,2505,1725,0,0,780,0,0,68.86,0.00,0.00,4,4,0,,0,0,0,,25393.00,25393.00,,,,,,,4,4,0,,0,0,0,,1,0.00,746.00,2429.00,1,,,,,,0.23,0.23,0.00,,232.83,746.00,978.83,0,25186.6819,25186.6819,108.1763,25.7314,
2086,Week 42,October,2025-10-13,2025-10-19,Targetted,1108,R2r_P3_Existing_Repeat_R_Bw_1_12_Month_Suits___Jackets_Chath_Stores_Oct_1,810,565,0,0,245,0,0,69.75,0.00,0.00,4,4,0,,0,0,0,,22853.00,22853.00,,,,,,,4,4,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.71,0.71,0.00,,75.01,0.00,75.01,0,22918.7024,22918.7024,305.542,305.542,
2087,Week 42,October,2025-10-13,2025-10-19,Targetted,1109,Winback_P4_Existing_R_Bw_13_24_Month_Suits___Jackets_Rest_Of_India_Oct_1,77144,43715,0,0,33429,0,0,56.67,0.00,0.00,63,63,0,,0,0,0,,757777.00,757777.00,,,,,,,65,65,0,,0,0,0,,1,8201.00,290.00,5238.00,1,,,,,,0.14,0.14,0.00,,5895.76,290.00,6185.76,103974.5809,407707.3425,511681.9234,86.7881,82.7193,0.0008
2088,Week 42,October,2025-10-13,2025-10-19,Targetted,1110,Mvcpush_P3_Mvcpush_Existing_R_Bw_1_12_Month_High_Value_15_19_5k_Rest_Of_India_Oct_1,7076,4122,0,0,2954,0,0,58.25,0.00,0.00,24,24,0,,0,0,0,,249205.00,249205.00,,,,,,,24,24,0,,0,0,0,,1,5647.00,245.00,4209.00,1,,,,,,0.58,0.58,0.00,,554.84,245.00,799.84,-14560.2084,-42800.9589,-57361.1673,-103.3833,-71.7158,-0.001
2089,Week 42,October,2025-10-13,2025-10-19,Targetted,1111,N2r_P3_Existing_One_Timer_R_Bw_1_12_Month_Suits___Jackets_Dusshera_Stores_Oct_1,2932,1626,0,0,1306,0,0,55.46,0.00,0.00,1,1,0,,0,0,0,,5778.00,5778.00,,,,,,,1,1,0,,0,0,0,,1,0.00,560.00,5778.00,1,,,,,,0.06,0.06,0.00,,219.44,560.00,779.44,0,5637.0168,5637.0168,25.6882,7.2321,
2090,Week 42,October,2025-10-13,2025-10-19,Targetted,1112,N2r_P3_Existing_One_Timer_R_Bw_1_12_Month_Suits___Jackets_Chath_Stores_Oct_1,1204,856,0,0,348,0,0,71.10,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.79,,,0,0,0,0,,
2091,Week 42,October,2025-10-13,2025-10-19,Targetted,1113,Mvcpush_P3_Mvcpush_Existing_R_Bw_1_12_Month_High_Value_15_19_5k_Dusshera_Stores_Oct_1,810,464,0,0,346,0,0,57.28,0.00,0.00,6,6,0,,0,0,0,,54247.00,54247.00,,,,,,,6,6,0,,0,0,0,,0,170.00,0.00,,0,,,,,,1.29,1.29,0.00,,62.27,0.00,62.27,0,54116.8074,54116.8074,869.0671,869.0671,
2092,Week 42,October,2025-10-13,2025-10-19,Targetted,1114,Mvcpush_P3_Mvcpush_Existing_R_Bw_1_12_Month_High_Value_15_19_5k_Common_Stores_Oct_1,637,426,0,0,211,0,0,66.88,0.00,0.00,1,1,0,,0,0,0,,5408.00,5408.00,,,,,,,1,1,0,,0,0,0,,0,379.00,0.00,,0,,,,,,0.23,0.23,0.00,,56.29,0.00,56.29,0,5298.7584,5298.7584,94.1332,94.1332,
2093,Week 42,October,2025-10-13,2025-10-19,Targetted,1115,N2r_P3_Existing_One_Timer_R_Bw_1_12_Month_Suits___Jackets_Puja_Stores_Oct_1,4958,3487,0,0,1471,0,0,70.33,0.00,0.00,5,5,0,,0,0,0,,52416.00,52416.00,,,,,,,5,5,0,,0,0,0,,1,0.00,800.00,2619.00,1,,,,,,0.14,0.14,0.00,,468.39,800.00,1268.39,0,51176.8858,51176.8858,109.2613,40.3479,
2094,Week 42,October,2025-10-13,2025-10-19,Targetted,1116,Mvcpush_P3_Mvcpush_Existing_R_Bw_1_12_Month_High_Value_15_19_5k_Puja_Stores_Oct_1,1074,738,0,0,336,0,0,68.72,0.00,0.00,6,6,0,,0,0,0,,39104.00,39104.00,,,,,,,7,7,0,,0,0,0,,0,944.00,0.00,,0,0,0,0,,0,0.81,0.81,0.00,,98.93,0.00,98.93,0,33393.6987,33393.6987,337.5488,337.5488,
2095,Week 42,October,2025-10-13,2025-10-19,Targetted,1117,R2r_P3_Existing_Repeat_R_Bw_1_12_Month_Suits___Jackets_Common_Stores_Oct_1,2119,1434,0,0,685,0,0,67.67,0.00,0.00,9,9,0,,0,0,0,,55894.00,55894.00,,,,,,,9,9,0,,0,0,0,,3,0.00,1681.00,11547.00,3,,,,,,0.63,0.63,0.00,,190.19,1681.00,1871.19,0,56106.3968,56106.3968,295.0018,29.9843,
2096,Week 42,October,2025-10-13,2025-10-19,Targetted,1118,R2r_P3_Existing_Repeat_R_Bw_1_12_Month_Suits___Jackets_Puja_Stores_Oct_1,3881,2654,0,0,1227,0,0,68.38,0.00,0.00,14,14,0,,0,0,0,,81954.00,81954.00,,,,,,,16,16,0,,0,0,0,,1,0.00,778.00,1405.00,1,,,,,,0.53,0.53,0.00,,358.15,778.00,1136.15,19659.9694,-197114.7364,-177454.767,-495.4761,-156.1896,-0.0145
2097,Week 42,October,2025-10-13,2025-10-19,Targetted,1119,Mvcpush_P3_Mvcpush_Existing_R_Bw_1_12_Month_High_Value_15_19_5k_Chath_Stores_Oct_1,252,174,0,0,78,0,0,69.05,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.88,,,0,0,0,0,,
2098,Week 42,October,2025-10-13,2025-10-19,Targetted,1120,Winback_P4_Existing_R_Bw_13_24_Month_Suits___Jackets_Chath_Stores_Oct_1,2540,1732,0,0,808,0,0,68.19,0.00,0.00,2,2,0,,0,0,0,,6304.00,6304.00,,,,,,,4,4,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.12,0.12,0.00,,231.40,0.00,231.40,0,3275.5584,3275.5584,14.1554,14.1554,
2099,Week 42,October,2025-10-13,2025-10-19,Targetted,1121,N2r_P3_Existing_One_Timer_R_Bw_1_12_Month_Suits___Jackets_Rest_Of_India_Oct_1,32499,19349,0,0,13150,0,0,59.54,0.00,0.00,32,32,0,,0,0,0,,239897.00,239897.00,,,,,,,32,32,0,,0,0,0,,1,2198.00,1100.00,4209.00,1,,,,,,0.17,0.17,0.00,,2607.80,1100.00,3707.80,0,246593.873,246593.873,94.5601,66.5068,
2100,Week 42,October,2025-10-13,2025-10-19,Targetted,1122,Winback_P4_Existing_R_Bw_13_24_Month_Suits___Jackets_Common_Stores_Oct_1,6088,4061,0,0,2027,0,0,66.70,0.00,0.00,4,4,0,,0,0,0,,42302.00,42302.00,,,,,,,4,4,0,,0,0,0,,0,2359.00,0.00,,0,,,,,,0.10,0.10,0.00,,543.79,0.00,543.79,0,42947.1055,42947.1055,78.9774,78.9774,
2101,Week 42,October,2025-10-13,2025-10-19,Targetted,1123,R2r_P3_Existing_Repeat_R_Bw_1_12_Month_Suits___Jackets_Rest_Of_India_Oct_1,25951,14832,0,0,11119,0,0,57.15,0.00,0.00,95,93,2,,0,0,0,,811589.36,807226.98,4362.38,,,,,,100,98,2,,0,0,0,,3,6750.00,1730.00,22061.00,3,3,0,3,13761.00,3,0.64,0.63,0.01,,1993.94,2972.90,4966.84,5387.068,60187.4669,65574.5349,32.8869,13.2025,0.0005
2102,Week 42,October,2025-10-13,2025-10-19,Targetted,1137,Sardarpura_jodhpur_16Oct,3859,1694,0,0,2165,0,0,43.90,0.00,0.00,1,1,0,,0,0,0,,6094.00,6094.00,,,,,,,1,1,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.06,0.06,0.00,,220.22,0.00,220.22,0,6193.9416,6193.9416,28.1262,28.1262,
2103,Week 42,October,2025-10-13,2025-10-19,Targetted,1138,GoleMkt_mahanagar_Lucknow_15Oct,20493,13022,0,0,7471,0,0,63.54,0.00,0.00,112,110,2,,0,0,0,,945723.31,942689.76,3033.55,,,,,,130,128,2,,0,0,0,,15,13663.00,12514.00,110153.00,15,1,0,1,5245.00,1,0.86,0.84,0.02,,1750.32,13514.00,15264.32,181117.1681,-37892.9506,143224.2175,81.8274,9.3829,-0.0004
2104,Week 42,October,2025-10-13,2025-10-19,Targetted,1139,Sardarpura_jodhpur_15Oct,5642,3497,0,0,2145,0,0,61.98,0.00,0.00,28,27,1,,0,0,0,,253288.23,250741.98,2546.25,,,,,,32,31,1,,0,0,0,,2,789.00,1039.00,5778.00,2,0,0,0,,0,0.80,0.77,0.03,,470.47,1039.00,1509.47,-307880.3945,-5535.9309,-313416.3254,-666.1771,-207.6334,-0.0002
2105,Week 42,October,2025-10-13,2025-10-19,Targetted,1140,tand_ke_daur_Robertsganj,860,557,0,0,303,0,0,64.77,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.41,,,0,0,0,0,,
2106,Week 42,October,2025-10-13,2025-10-19,Targetted,1142,Red Carpet Activity V4,38376,14305,1217,0,22854,0,7655,37.28,0.00,53.51,132,130,2,,89,89,0,,1452545.69,1437512.64,15033.05,,897697.85,897697.85,,,147,145,2,,101,101,0,,45,36028.00,61291.00,311639.00,45,2,0,2,9732.00,2,0.92,0.91,0.01,,9036.00,63227.80,72263.80,-403628.4907,367513.8222,-36114.6685,-3.9968,-0.4998,0.0026
2107,Week 42,October,2025-10-13,2025-10-19,Targetted,1143,All Test BB,12,10,0,0,12,0,3,83.33,0.00,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,,3.70,,,0,0,0,0,,
2108,Week 42,October,2025-10-13,2025-10-19,Targetted,474,,13,11,0,0,2,0,0,84.62,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,,5.03,,,0,0,0,0,,
2109,Week 42,October,2025-10-13,2025-10-19,Targetted,474,WA_Test,13,11,0,0,10,0,4,84.62,0.00,36.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,,5.03,,,0,0,0,0,,
2110,Week 42,October,2025-10-13,2025-10-19,Targetted,989,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Formal_dusshera_stores_oct_1,4295,2525,0,0,1770,0,0,58.79,0.00,0.00,5,5,0,,0,0,0,,43882.00,43882.00,,,,,,,6,6,0,,0,0,0,,0,183.00,0.00,,0,,,,,,0.20,0.20,0.00,,340.34,0.00,340.34,0,36934.0168,36934.0168,108.5209,108.5209,
2111,Week 42,October,2025-10-13,2025-10-19,Targetted,990,R2R_P3_Existing_repeat_R_bw_1_12_Month_Casual_puja_stores_oct_1,6928,4848,0,0,2080,0,0,69.98,0.00,0.00,29,29,0,,0,0,0,,231986.00,231986.00,,,,,,,31,31,0,,0,0,0,,5,2701.00,3262.00,24264.00,5,,,,,,0.60,0.60,0.00,,648.96,3262.00,3910.96,118762.6979,-536938.3353,-418175.6374,-644.3781,-106.924,-0.0148
2112,Week 42,October,2025-10-13,2025-10-19,Targetted,993,R2R_P3_Existing_repeat_R_bw_1_12_Month_Casual_chath_stores_oct_1,1469,1047,0,0,422,0,0,71.27,0.00,0.00,3,3,0,,0,0,0,,14769.00,14769.00,,,,,,,3,3,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.29,0.29,0.00,,139.62,0.00,139.62,32889.411,-175764.3921,-142874.9811,-1023.3131,-1023.3131,-0.0341
2113,Week 42,October,2025-10-13,2025-10-19,Targetted,994,Winback_P4_Existing_R_bw_13_24_Month_Casual_common_stores_oct_1,5747,3888,0,0,1859,0,0,67.65,0.00,0.00,7,7,0,,0,0,0,,83333.00,83333.00,,,,,,,7,7,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.18,0.18,0.00,,521.04,0.00,521.04,0,83313.9526,83313.9526,159.8993,159.8993,
2114,Week 42,October,2025-10-13,2025-10-19,Targetted,995,R2R_P3_Existing_repeat_R_bw_1_12_Month_Mix_of_Category_dusshera_stores_oct_1,986,532,0,0,454,0,0,53.96,0.00,0.00,2,2,0,,0,0,0,,15735.00,15735.00,,,,,,,2,2,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.38,0.38,0.00,,72.28,0.00,72.28,0,15904.938,15904.938,220.0462,220.0462,
2115,Week 42,October,2025-10-13,2025-10-19,Targetted,996,R2R_P3_Existing_repeat_R_bw_1_12_Month_Mix_of_Category_rest_of_india_oct_1,11772,6870,0,0,4902,0,0,58.36,0.00,0.00,36,36,0,,0,0,0,,312006.90,312006.90,,,,,,,41,41,0,,0,0,0,,0,0.00,0.00,,0,1,0,1,2249.00,1,0.52,0.52,0.00,,925.99,224.90,1150.89,-536546.981,-141156.4877,-677703.4687,-731.8691,-588.8516,-0.0027
2116,Week 42,October,2025-10-13,2025-10-19,Control,1001,MVC_P1_MVC_Customers_dusshera_stores_oct_1,68,68,0,0,0,0,0,100.00,0.00,0.00,2,2,0,,0,0,0,,12438.00,12438.00,,,,,,,2,2,0,,0,0,0,,1,821.00,700.00,6318.00,1,,,,,,2.94,2.94,0.00,,,,,,,,,,
2117,Week 42,October,2025-10-13,2025-10-19,Control,1002,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Casual_rest_of_india_oct_1,672,672,0,0,0,0,0,100.00,0.00,0.00,1,1,0,,0,0,0,,17965.00,17965.00,,,,,,,1,1,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.15,0.15,0.00,,,,,,,,,,
2118,Week 42,October,2025-10-13,2025-10-19,Control,1003,N2R_P3_Existing_R_bw_1_12_Month_Mix_of_Category_chath_stores_oct_1,21,21,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,Week 42,October,2025-10-13,2025-10-19,Control,1004,MVC_P1_MVC_Customers_common_stores_oct_1,19,19,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,Week 42,October,2025-10-13,2025-10-19,Control,1006,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Mix_of_Category_rest_of_india_oct_1,247,247,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,Week 42,October,2025-10-13,2025-10-19,Control,1007,Winback_P4_Existing_R_bw_13_24_Month_Mix_of_Category_dusshera_stores_oct_1,49,49,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,Week 42,October,2025-10-13,2025-10-19,Control,1008,MVC_P1_MVC_Customers_Max_Bill_Value_bw_0_6K_rest_of_india_oct_1,231,231,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,Week 42,October,2025-10-13,2025-10-19,Control,1009,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Casual_common_stores_oct_1,41,41,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,Week 42,October,2025-10-13,2025-10-19,Control,1010,Winback_P4_Existing_R_bw_13_24_Month_Casual_rest_of_india_oct_1,1606,1606,0,0,0,0,0,100.00,0.00,0.00,5,5,0,,0,0,0,,37961.01,37961.01,,,,,,,5,5,0,,0,0,0,,0,1728.00,0.00,,0,,,,,,0.31,0.31,0.00,,,,,,,,,,
2125,Week 42,October,2025-10-13,2025-10-19,Control,1011,Winback_P4_Existing_R_bw_13_24_Month_Mix_of_Category_rest_of_india_oct_1,489,489,0,0,0,0,0,100.00,0.00,0.00,1,1,0,,0,0,0,,6844.00,6844.00,,,,,,,1,1,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.20,0.20,0.00,,,,,,,,,,
2126,Week 42,October,2025-10-13,2025-10-19,Control,1012,Bottom_Stores_rest_of_india_Oct_1,722,722,0,0,0,0,0,100.00,0.00,0.00,5,5,0,,0,0,0,,27601.00,27601.00,,,,,,,5,5,0,,0,0,0,,1,0.00,208.00,3758.00,1,,,,,,0.69,0.69,0.00,,,,,,,,,,
2127,Week 42,October,2025-10-13,2025-10-19,Control,1013,Bottom_Stores_chath_stores_Oct_1,216,216,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128,Week 42,October,2025-10-13,2025-10-19,Control,1014,Winback_P4_Existing_R_bw_13_24_Month_Casual_puja_stores_oct_1,260,260,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,,,,,,,,,,
2129,Week 42,October,2025-10-13,2025-10-19,Control,1015,Bottom_Stores_dusshera_stores_Oct_1,17,17,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130,Week 42,October,2025-10-13,2025-10-19,Control,1016,Bottom_Stores_puja_stores_Oct_1,269,269,0,0,0,0,0,100.00,0.00,0.00,1,1,0,,0,0,0,,8425.00,8425.00,,,,,,,1,1,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.37,0.37,0.00,,,,,,,,,,
2131,Week 42,October,2025-10-13,2025-10-19,Control,1017,Bottom_Stores_common_stores_Oct_1,396,396,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132,Week 42,October,2025-10-13,2025-10-19,Control,1020,MVC_P1_MVC_Customers_who_purchased_suits_jackets_dusshera_stores_oct_1,122,122,0,0,0,0,0,100.00,0.00,0.00,1,1,0,,0,0,0,,7369.00,7369.00,,,,,,,1,1,0,,0,0,0,,0,516.00,0.00,,0,,,,,,0.82,0.82,0.00,,,,,,,,,,
2133,Week 42,October,2025-10-13,2025-10-19,Control,1021,Winback_P4_Existing_R_bw_13_24_Month_Formal_puja_stores_oct_1,188,188,0,0,0,0,0,100.00,0.00,0.00,1,1,0,,0,0,0,,6771.00,6771.00,,,,,,,1,1,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.53,0.53,0.00,,,,,,,,,,
2134,Week 42,October,2025-10-13,2025-10-19,Control,1022,MVC_P1_MVC_Customers_who_purchased_suits_jackets_chath_stores_oct_1,39,39,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135,Week 42,October,2025-10-13,2025-10-19,Control,1023,R2R_P1_MVC_Repeaters_Max_Bill_Value_gt_than_10K_rest_of_india_oct_1,230,230,0,0,0,0,0,100.00,0.00,0.00,8,8,0,,0,0,0,,89295.00,89295.00,,,,,,,8,8,0,,0,0,0,,1,0.00,895.00,7294.00,1,,,,,,3.48,3.48,0.00,,,,,,,,,,
2136,Week 42,October,2025-10-13,2025-10-19,Control,1025,R2R_P3_Existing_repeat_R_bw_1_12_Month_Casual_common_stores_oct_1,64,64,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,Week 42,October,2025-10-13,2025-10-19,Control,1033,R2R_P3_Existing_repeat_R_bw_1_12_Month_Mix_of_Category_puja_stores_oct_1,41,41,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,Week 42,October,2025-10-13,2025-10-19,Control,1034,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Casual_chath_stores_oct_1,29,29,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139,Week 42,October,2025-10-13,2025-10-19,Control,1037,Winback_P4_Existing_R_bw_13_24_Month_Formal_common_stores_oct_1,110,110,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140,Week 42,October,2025-10-13,2025-10-19,Control,1039,Winback_P4_Existing_R_bw_13_24_Month_Formal_rest_of_india_oct_1,1805,1805,0,0,0,0,0,100.00,0.00,0.00,4,4,0,,0,0,0,,17812.00,17812.00,,,,,,,4,4,0,,0,0,0,,1,0.00,480.00,3034.00,1,,,,,,0.22,0.22,0.00,,,,,,,,,,
2141,Week 42,October,2025-10-13,2025-10-19,Control,1040,R2R_P3_Existing_repeat_R_bw_1_12_Month_Formal_dusshera_stores_oct_1,97,97,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142,Week 42,October,2025-10-13,2025-10-19,Control,1041,Winback_P4_Existing_R_bw_13_24_Month_Mix_of_Category_common_stores_oct_1,50,50,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2143,Week 42,October,2025-10-13,2025-10-19,Control,1043,R2R_P3_Existing_repeat_R_bw_1_12_Month_Casual_dusshera_stores_oct_1,89,89,0,0,0,0,0,100.00,0.00,0.00,2,2,0,,0,0,0,,19131.00,19131.00,,,,,,,2,2,0,,0,0,0,,0,0.00,0.00,,0,,,,,,2.25,2.25,0.00,,,,,,,,,,
2144,Week 42,October,2025-10-13,2025-10-19,Control,1045,MVC_P1_MVC_Customers_who_purchased_suits_jackets_rest_of_india_oct_1,1310,1310,0,0,0,0,0,100.00,0.00,0.00,11,11,0,,0,0,0,,149542.00,149542.00,,,,,,,12,12,0,,0,0,0,,0,2277.00,0.00,,0,,,,,,0.84,0.84,0.00,,,,,,,,,,
2145,Week 42,October,2025-10-13,2025-10-19,Control,1047,R2R_P3_Existing_R_bw_1_12_Month_Mix_of_Category_common_stores_oct_1,32,32,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2146,Week 42,October,2025-10-13,2025-10-19,Control,1049,N2R_P2_New_Customer_chath_stores_oct_1,56,56,0,0,0,0,0,100.00,0.00,0.00,1,1,0,,0,0,0,,19806.00,19806.00,,,,,,,1,1,0,,0,0,0,,0,0.00,0.00,,0,,,,,,1.79,1.79,0.00,,,,,,,,,,
2147,Week 42,October,2025-10-13,2025-10-19,Control,1050,MVC_P1_MVC_Customers_Max_Bill_Value_bw_6_10K_rest_of_india_oct_1,71,71,0,0,0,0,0,100.00,0.00,0.00,1,1,0,,0,0,0,,2435.00,2435.00,,,,,,,1,1,0,,0,0,0,,0,170.00,0.00,,0,,,,,,1.41,1.41,0.00,,,,,,,,,,
2148,Week 42,October,2025-10-13,2025-10-19,Control,1051,MVC_P1_MVC_Customers_puja_Stores_oct_1,76,76,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2149,Week 42,October,2025-10-13,2025-10-19,Control,1052,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Mix_of_Category_puja_stores_oct_1,44,44,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,Week 42,October,2025-10-13,2025-10-19,Control,1054,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Mix_of_Category_dusshera_stores_oct_1,25,25,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,Week 42,October,2025-10-13,2025-10-19,Control,1055,R2R_P3_Existing_repeat_R_bw_1_12_Month_Casual_rest_of_india_oct_1,715,715,0,0,0,0,0,100.00,0.00,0.00,6,6,0,,0,0,0,,33375.00,33375.00,,,,,,,6,6,0,,0,0,0,,1,328.00,278.00,2619.00,1,,,,,,0.84,0.84,0.00,,,,,,,,,,
2152,Week 42,October,2025-10-13,2025-10-19,Control,1056,N2R_P2_New_Customer_common_stores_oct_1,94,94,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2153,Week 42,October,2025-10-13,2025-10-19,Control,1057,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Casual_puja_stores_oct_1,112,112,0,0,0,0,0,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
