CampaignName,Campaigncode,Campaignsubcode,mastercampaigncode,CustomerType,channel,segmentid,segmentname,campaigntype,CampaignScheduleDate,RoiStartDate,RoiEndDate,IncentiveType,IncentiveOfferCode,IncentiveValue,IncentiveNarration,TotalBase,Delivered,Undelivered,DND,Expired,Failed,Unsubscribe,DeliveryRate,Opened,OpenRate,Clicked,ClickThroughRate,Responder,ResponderSales,ResponderTransaction,ResponderATV,ResponderHitRate,ResponderVisit,ResponderABS,TotalPointIssued,PointsRedeemed,PointsRedeemer,PointsRedeemerSales,PointsRedeemerTransaction,RedeemerVisit,RedeemerHitRate,AmountRedeemer,AmountRedeemerSales,AmountRedeemerTransaction,AmountRedeemerATV,AmountRedeemerABS,CouponIssued,CouponRedeemer,CouponRedeemerSales,CouponRedeemerTransaction,CouponRedeemed,ProductRedeemer,ProductRedeemerSales,ProductRedeemerTransaction,ProductRedeemerATV,ProductRedeemerABS,PerProductRedeemer,GvRedeemer,GVRedeemerSales,GVRedeemerTransaction,GVRedeemerABS,Lift,Shift,IncreamentalSales,CommunicationCost,OfferCost,ROIWithCommunicationCost,ROIWithCommunicationCostAndRewardCost,OfferType,IncrementalHitRate,CostPerResponder,ContentType
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-18,ALT_SBC_43,Control,SMS,213,Sec Best Category D90,Program Promotion,2025-10-18,2025-10-18,2025-10-25,,,,,36,0,36,0,0,0,0,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.1111,,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-18,ALT_SBC_43,Target,SMS,213,Sec Best Category D90,Program Promotion,2025-10-18,2025-10-18,2025-10-25,,,,,2008,1260,3,680,0,63,2,62.75%,0,0%,4,0.3175%,19,151387.92,19,7967.79,1.51%,19,2.42,1911.00,2573.00,2,32135.00,2,2,0.1587%,,,,,,,,,,,,,,,,,,,,,0.0,151595.1725,151595.1725,261.04,0,580.7354,580.7354,,-0.096,13.74,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-19,ALT_SBC_43,Control,SMS,213,Sec Best Category D90,Program Promotion,2025-10-19,2025-10-19,2025-10-26,,,,,48,0,48,0,0,0,0,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.1111,,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-19,ALT_SBC_43,Target,SMS,213,Sec Best Category D90,Program Promotion,2025-10-19,2025-10-19,2025-10-26,,,,,2620,1635,6,921,0,57,1,62.4%,0,0%,6,0.367%,20,185683.0,22,8440.14,1.22%,21,2.73,5804.00,4222.00,4,39343.00,4,4,0.2446%,,,,,,,,,,,,,,,,,,,,,0.0,168355.4726,168355.4726,340.60,0,494.2909,494.2909,,-0.0989,17.03,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-20,ALT_SBC_43,Control,SMS,213,Sec Best Category D90,Program Promotion,2025-10-20,2025-10-20,2025-10-27,,,,,26,0,26,0,0,0,0,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.1111,,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-20,ALT_SBC_43,Target,SMS,213,Sec Best Category D90,Program Promotion,2025-10-20,2025-10-20,2025-10-27,,,,,1247,863,1,348,0,32,3,69.21%,0,0%,5,0.5794%,7,73804.5,7,10543.5,0.81%,7,2.71,1654.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,0.0,73702.2281,73702.2281,162.11,0,454.6433,454.6433,,-0.103,23.16,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-21,ALT_SBC_43,Control,SMS,213,Sec Best Category D90,Program Promotion,2025-10-21,2025-10-21,2025-10-28,,,,,26,0,26,0,0,0,0,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.1111,,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-21,ALT_SBC_43,Target,SMS,213,Sec Best Category D90,Program Promotion,2025-10-21,2025-10-21,2025-10-28,,,,,1274,840,2,394,0,37,1,65.93%,0,0%,4,0.4762%,6,36501.0,6,6083.5,0.71%,6,2.0,0.00,277.00,1,6519.00,1,1,0.119%,,,,,,,,,,,,,,,,,,,,,0.0,36281.994,36281.994,165.62,0,219.0677,219.0677,,-0.104,27.6,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-22,ALT_SBC_43,Target,SMS,213,Sec Best Category D90,Program Promotion,2025-10-22,2025-10-22,2025-10-29,,,,,1304,862,0,400,0,41,1,66.1%,0,0%,0,0%,5,26745.71,6,4457.62,0.58%,6,1.33,524.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,0.0,22286.317,22286.317,169.52,0,131.4672,131.4672,,-0.1053,33.9,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-22,ALT_SBC_43,Control,SMS,213,Sec Best Category D90,Program Promotion,2025-10-22,2025-10-22,2025-10-29,,,,,23,0,23,0,0,0,0,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.1111,,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-23,ALT_SBC_43,Control,SMS,213,Sec Best Category D90,Program Promotion,2025-10-23,2025-10-23,2025-10-30,,,,,31,0,31,0,0,0,0,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.1111,,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-23,ALT_SBC_43,Target,SMS,213,Sec Best Category D90,Program Promotion,2025-10-23,2025-10-23,2025-10-30,,,,,1604,1063,1,487,0,51,2,66.27%,0,0%,4,0.3763%,6,66768.17,7,9538.31,0.56%,6,2.29,2099.00,300.00,1,4209.00,1,1,0.0941%,,,,,,,,,,,,,,,,,,,,,0.0,56779.6518,56779.6518,208.52,0,272.2983,272.2983,,-0.1055,34.75,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-24,ALT_SBC_43,Target,SMS,213,Sec Best Category D90,Program Promotion,2025-10-24,2025-10-24,2025-10-31,,,,,1757,1205,0,489,0,63,0,68.58%,0,0%,5,0.4149%,8,107727.0,10,10772.7,0.66%,8,1.4,3705.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,0.0,85675.2831,85675.2831,228.41,0,375.0943,375.0943,,-0.1045,28.55,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-24,ALT_SBC_43,Control,SMS,213,Sec Best Category D90,Program Promotion,2025-10-24,2025-10-24,2025-10-31,,,,,37,0,37,0,0,0,0,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.1111,,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-25,ALT_SBC_43,Control,SMS,213,Sec Best Category D90,Program Promotion,2025-10-25,2025-10-25,2025-11-01,,,,,51,0,51,0,0,0,0,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.1111,,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-25,ALT_SBC_43,Target,SMS,213,Sec Best Category D90,Program Promotion,2025-10-25,2025-10-25,2025-11-01,,,,,2508,1584,1,839,0,81,3,63.16%,0,0%,5,0.3157%,6,47699.0,6,7949.83,0.38%,6,1.5,1805.00,1021.00,2,19976.00,2,2,0.1263%,,,,,,,,,,,,,,,,,,,,,0.0,47851.6167,47851.6167,326.04,0,146.7661,146.7661,,-0.1073,54.34,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-26,ALT_SBC_43,Control,SMS,213,Sec Best Category D90,Program Promotion,2025-10-26,2025-10-26,2025-11-02,,,,,68,0,68,0,0,0,0,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.1111,,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
er_2ndbestcat_d90_9170_Final,ALT_SBC_43,ALT_SBC_43_2025-10-26,ALT_SBC_43,Target,SMS,213,Sec Best Category D90,Program Promotion,2025-10-26,2025-10-26,2025-11-02,,,,,3107,1977,1,1040,0,86,3,63.63%,0,0%,6,0.3035%,4,41190.0,5,8238,0.2%,4,2.6,445.00,2045.00,1,3155.00,1,1,0.0506%,,,,,,,,,,,,,,,,,,,,,0.0,32573.052,32573.052,403.91,0,80.6443,80.6443,,-0.1091,100.98,"Hi [[MemberName]], we have added more styles to our Shirts collection. Visit your nearest Blackberrys store or shop online at ez.easyrz.co/ede4z4w60c8bk7. Click https://wa.link/b5rpdl to connect with us on WhatsApp. T&C"
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-01,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-01,2025-10-01,2025-10-02,,,,,937,566,,,,370,,60.41%,347,61.31%,0,0%,3,20504.00,4,5126,0.53%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.20,0,,,,-0.2169,187.4,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-01,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-01,2025-10-01,2025-10-02,,,,,18,0,,,,18,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-02,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-02,2025-10-02,2025-10-03,,,,,21,0,,,,21,,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.2222,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-02,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-02,2025-10-02,2025-10-03,,,,,1164,691,,,,459,,59.36%,446,64.54%,0,0%,8,59261.0,10,5926.1,1.16%,8,1.4,1106.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,0.0,47501.2472,47501.2472,698.40,0,68.0144,68.0144,,-0.2106,87.3,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-03,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-03,2025-10-03,2025-10-04,,,,,12,0,,,,12,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-03,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-03,2025-10-03,2025-10-04,,,,,711,437,,,,266,,61.46%,295,67.51%,0,0%,5,32265.00,7,4609.29,1.14%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.60,0,,,,-0.2108,85.32,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-04,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-04,2025-10-04,2025-10-05,,,,,14,0,,,,14,,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.2222,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-04,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-04,2025-10-04,2025-10-05,,,,,722,439,,,,278,,60.8%,278,63.33%,0,0%,6,71537.75,9,7948.64,1.37%,6,2.22,3439.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,0.0,47805.5056,47805.5056,433.20,0,110.3544,110.3544,,-0.2085,72.2,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-05,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-05,2025-10-05,2025-10-06,,,,,14,0,,,,14,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-05,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-05,2025-10-05,2025-10-06,,,,,712,419,,,,290,,58.85%,286,68.26%,0,0%,1,3685.00,1,3685,0.24%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.20,0,,,,-0.2198,427.2,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-06,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-06,2025-10-06,2025-10-07,,,,,18,0,,,,18,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-06,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-06,2025-10-06,2025-10-07,,,,,837,511,,,,320,,61.05%,326,63.8%,0,0%,4,21709.23,4,5427.31,0.78%,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.20,0,,,,-0.2144,125.55,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-07,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-07,2025-10-07,2025-10-08,,,,,678,393,,,,283,,57.96%,277,70.48%,0,0%,7,20135.27,14,1438.23,1.78%,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.80,0,,,,-0.2044,58.11,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-07,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-07,2025-10-07,2025-10-08,,,,,11,0,,,,11,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-08,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-08,2025-10-08,2025-10-09,,,,,839,535,,,,293,,63.77%,345,64.49%,0,0%,5,7355.82,9,817.31,0.93%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.40,0,,,,-0.2129,100.68,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-08,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-08,2025-10-08,2025-10-09,,,,,14,0,,,,14,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-09,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-09,2025-10-09,2025-10-10,,,,,17,0,,,,17,,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.2222,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-09,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-09,2025-10-09,2025-10-10,,,,,986,626,,,,352,,63.49%,422,67.41%,0,0%,8,11779.0,12,981.58,1.28%,8,0.17,105.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,0.0,7865.2042,7865.2042,591.60,0,13.2948,13.2948,,-0.2094,73.95,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-10,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-10,2025-10-10,2025-10-11,,,,,8,0,,,,8,,0%,0,,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.2222,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-10,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-10,2025-10-10,2025-10-11,,,,,505,336,,,,166,,66.53%,208,61.9%,0,0%,5,11307.0,9,1256.33,1.49%,5,0.56,428.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,0.0,6289.6905,6289.6905,303.00,0,20.7581,20.7581,,-0.2073,60.6,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-11,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-11,2025-10-11,2025-10-12,,,,,595,352,,,,239,,59.16%,244,69.32%,0,0%,3,17007.00,4,4251.75,0.85%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.00,0,,,,-0.2137,119,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-11,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-11,2025-10-11,2025-10-12,,,,,12,0,,,,12,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-12,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-12,2025-10-12,2025-10-13,,,,,11,0,,,,11,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-12,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-12,2025-10-12,2025-10-13,,,,,495,284,,,,208,,57.37%,197,69.37%,0,0%,3,6679.00,4,1669.75,1.06%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.00,0,,,,-0.2116,99,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-13,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-13,2025-10-13,2025-10-14,,,,,558,312,,,,243,,55.91%,226,72.44%,0,0%,3,5836.78,3,1945.59,0.96%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.80,0,,,,-0.2126,111.6,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-13,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-13,2025-10-13,2025-10-14,,,,,11,0,,,,11,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-14,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-14,2025-10-14,2025-10-15,,,,,10,0,,,,10,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-14,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-14,2025-10-14,2025-10-15,,,,,599,356,,,,238,,59.43%,251,70.51%,0,0%,4,6469.40,7,924.2,1.12%,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.40,0,,,,-0.211,89.85,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-15,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-15,2025-10-15,2025-10-16,,,,,16,0,,,,16,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-15,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-15,2025-10-15,2025-10-16,,,,,947,565,,,,374,,59.66%,372,65.84%,0,0%,6,31623.00,7,4517.57,1.06%,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.20,0,,,,-0.2116,94.7,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-16,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-16,2025-10-16,2025-10-17,,,,,25,0,,,,25,,0%,0,,0,,,,,,,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,-0.2222,,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-16,ALT_SBC_46,Target,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-16,2025-10-16,2025-10-17,,,,,1208,668,,,,527,,55.3%,441,66.02%,0,0%,4,29842.05,5,5968.41,0.6%,4,2.2,1741.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,0.0,23921.3873,23921.3873,724.80,0,33.0041,33.0041,,-0.2162,181.2,ntr_d1_wa_bb_club
NTR_D1_WA_BB_Club_Final_10937_525_01,ALT_SBC_46,ALT_SBC_46_2025-10-17,ALT_SBC_46,Control,WhatsApp,525,NTR_D2_Jounrey_Club,Program Promotion,2025-10-17,2025-10-17,2025-10-18,,,,,9,0,,,,9,,0%,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,ntr_d1_wa_bb_club
